word,count
bncDoc,364
xml,2136
id,2152
A6U,2
teiHeader,364
fileDesc,364
titleStmt,364
title,1523
Oxford,508
Art,71
Journal,34
Sample,154
containing,270
about,17831
26310,2
words,1000
from,28888
a,171756
periodical,106
domain,226
arts,100
respStmt,364
resp,894
Data,219
capture,274
and,183421
transcription,210
name,3931
University,551
Press,227
editionStmt,364
edition,1169
BNC,1092
XML,364
Edition,186
December,370
2006,419
extent,1008
tokens,194
26548,2
w,8008302
units,798
1082,90
s,733901
publicationStmt,364
distributor,385
Distributed,183
under,4133
licence,350
by,33684
Computing,183
Services,296
on,58002
behalf,315
of,201365
the,401650
Consortium,185
availability,474
This,3992
material,1118
is,39109
protected,259
international,956
copyright,200
laws,334
may,7736
not,66494
be,210973
copied,198
or,25447
redistributed,190
in,134002
any,9144
way,8883
Consult,182
Web,182
Site,188
at,39625
http,182
www,182
natcorp,182
ox,199
ac,257
uk,611
for,62760
full,2459
licencing,182
distribution,664
conditions,672
idno,728
type,9330
bnc,182
old,5828
ArtJnl,1
sourceDesc,364
bibl,329
imprint,324
n,370447
OXFORD1,7
publisher,391
pubPlace,254
date,4210
value,1522
1991,780
encodingDesc,364
tagsDecl,364
namespace,364
tagUsage,1967
gi,2068
c,1242507
occurs,1914
3708,28
div,13425
8,2257
head,18113
14,1155
hi,13162
160,174
mw,62434
260,150
p,136492
187,166
pb,3862
28,618
quote,1122
13,1718
profileDesc,364
creation,621
textClass,364
catRef,182
targets,219
alltim3,175
acad,30
wriase0,94
wridom7,17
wrista1,13
classCode,364
scheme,1101
DLEE,182
W,302
humanities,69
keywords,416
term,2535
revisionDesc,364
change,7845
10,3444
21,1269
who,153657
OUCS,1970
Tag,184
usage,253
updated,394
2000,1572
12,2423
Last,376
check,908
World,590
first,8762
release,564
09,758
06,411
Redo,117
tagusage,117
tables,266
01,1096
Check,200
all,23518
tagcounts,182
23,953
Resequenced,182
added,951
headers,185
Added,191
info,214
Updated,546
catrefs,182
08,558
source,850
titles,247
1999,423
25,1210
corrected,213
UCREL,194
POS,18810
codes,194
revised,217
2,6204
header,249
1994,307
11,1756
24,1026
dominic,185
Initial,190
accession,205
to,189336
corpus,198
wtext,304
ACPROSE,29
level,7453
1,9620
article,336
MAIN,3813
c5,4655655
VBG,2937
hw,4004227
pos,4004265
VERB,806575
BEING,3
VVN,96782
draw,1209
DRAWN,1
PRP,317103
PREP,459602
TO,62
AT0,316393
an,22885
ART,316390
AN,56
NN1,588095
image,611
SUBST,911335
IMAGE,2
BYLINE,1248
NP0,165452
guy,474
Guy,31
brett,11
Brett,9
3,4280
AVQ,16091
why,4973
ADV,316638
Why,1339
VDB,15665
do,56022
AJ0,269094
certain,1521
ADJ,445469
NN2,178212
images,101
VVB,91103
matter,2066
CRD,72126
PNI,19859
one,31610
PUN,519167
CJC,129378
CONJ,216219
VBZ,68879
desire,381
TO0,61818
VVI,105320
answer,1625
DT0,107705
this,32955
question,2741
AV0,226246
as,46530
involuntary,47
CJS,67795
response,877
PNX,5287
itself,1621
PRON,426785
4,3141
VDZ,3860
does,3433
PNP,299479
it,120063
seem,3120
important,2211
CJT,28175
that,99181
VM0,66243
should,8082
VHI,11149
have,87701
some,13117
PUQ,76859
objective,301
quality,781
insight,88
into,11991
history,2268
society,1255
knowledge,1032
rather,3337
than,10920
point,4341
merely,556
personal,966
obsession,61
5,2682
The,20706
american,704
American,596
film,803
maker,156
maya,1
Maya,1
deren,1
Deren,1
VVZ,32850
say,22745
says,1491
somewhere,811
always,4023
precede,55
analysis,1005
remark,196
DTQ,29510
which,23322
sound,1438
sounds,233
if,20675
VBD,48427
was,36677
make,10479
made,3100
artist,250
UNC,75651
challenge,483
academic,389
dryness,26
formalism,10
6,3293
but,35842
But,6594
XX0,48397
actually,2262
part,3467
PRF,100524
same,4727
phenomenon,267
whether,2507
result,2025
results,479
exclamation,27
PUL,12105
how,8348
beautiful,747
PUR,12167
new,10043
reading,1179
7,2674
recourse,36
book,2362
books,405
document,282
documents,81
sources,182
underscore,4
underscores,2
perception,198
somehow,370
already,2659
air,1180
effort,580
recapture,16
art,926
entangle,12
entangled,12
with,118768
remake,6
DPS,54738
its,4529
identity,290
VVG,64309
mean,8205
meaning,591
contemporary,299
struggle,374
struggles,22
9,1811
come,11456
